Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/2/17,2017-06-02T22:51:51.488Z,FB,6/30/17,157.5,Call,153.53,800,1.2,SWEEP,1112,3087,96000,,FALSE,28,
6/2/18,2017-06-02T22:51:33.105Z,AAPL,6/23/17,155,Call,155.25,780,2.5,BLOCK,2574,6260,195000,,FALSE,21,
6/2/19,2017-06-02T22:49:47.751Z,BAC,6/2/17,22.5,Put,22.41,1426,0.08,BLOCK,17592,11259,11408,,FALSE,0,
6/2/20,2017-06-02T22:49:18.192Z,RH,6/16/17,45,Call,42.26,2421,0.828976,SWEEP,2511,28,200695,,FALSE,14,
6/2/21,2017-06-02T22:47:45.641Z,BAC,07/17(M),22,Put,22.42,1170,0.59,SWEEP,2257,37725,69030,,FALSE,774,
6/2/22,2017-06-02T22:47:06.145Z,USO,6/9/17,10,Put,9.87,3000,0.25,SWEEP,6914,5345,75000,,FALSE,7,
6/2/23,2017-06-02T22:44:59.556Z,LVS,7/7/17,60,Call,62.62,795,3.1,SWEEP,1520,45,246450,,FALSE,35,
6/2/17,2017-06-02T22:43:31.955Z,SPY,07/17(M),243,Put,244.23,1000,2.75,SWEEP,17629,11534,275000,,FALSE,774,
6/2/17,2017-06-02T22:43:30.760Z,AUY,07/17(M),2.5,Call,2.56,1000,0.22,BLOCK,1087,7743,22000,,FALSE,774,
6/2/17,2017-06-02T22:40:58.182Z,QQQ,6/9/17,143.5,Call,143.45,1008,0.743095,SWEEP,5229,1624,74903,,FALSE,7,
6/2/17,2017-06-02T22:39:43.610Z,SPY,6/30/17,244,Put,244.3,1000,2.25,SWEEP,12911,2107,225000,,FALSE,28,
6/2/17,2017-06-02T22:37:58.300Z,QQQ,6/16/17,143,Put,143.48,1753,1.14917,SWEEP,6423,2489,201449,,FALSE,14,
6/2/17,2017-06-02T22:37:25.070Z,SPY,6/9/17,245,Call,244.31,2500,0.55996,SWEEP,19313,11011,139990,,FALSE,7,
6/2/17,2017-06-02T22:35:19.994Z,FB,07/17(M),150,Call,153.43,1010,6.1,BLOCK,7551,27999,616100,,FALSE,774,
6/2/17,2017-06-02T22:31:44.788Z,FB,07/17(M),150,Call,153.31,1095,6.05,SWEEP,6530,27999,662475,,FALSE,774,
6/2/17,2017-06-02T22:31:10.636Z,URBN,6/9/17,19,Call,18.91,958,0.4,SWEEP,986,94,38320,,FALSE,7,
